name,category,tags,desc
Gender Of Subject Officers Compared To New York City Police Department Demographics 2005 - 2009,Public Safety,"complaint, civilian, review, board, activity, ccrb, ...",CCRB: Gender of Subject Officers Compared to New York City Police Department Demographics 2005 - 2009
CCRB: Assignment Of Officers Against Whom Allegations Were Substantiated - Detective Bureau 2005 - 2009,Public Safety,"complaint, civilian, review, board, activity, ccrb, ...","Civilian Complaint Review Board (CCRB) complaint activity data, 2005-2009"
"Board of Education, 1934-2002",Government,"library, catalog, catalogue, report, study, ...","""The records of selected individual members of the Board of Education, 1934-2002, documenting the work of the citizen policy making board.
"""
Manhattan Open Article 7 Petitions,"","tax, commission, action petition, record, ...","The information in the City's computer records with respect to open petitions challenging real property tax assessments pursuant to Article 7 of the Real Property Tax Law: contains the index number and year the petition was commenced, the name of the petitioner, the name of the attorney for the petitioner, and various note of issue codes."
NYC School Survey - 2007,Education,"","Every year since 2007, all parents, all teachers, and students take the NYC School Survey. The survey ranks among the largest surveys of any kind ever conducted nationally. 

Survey results provide insight into a school's learning environment and contribute a measure of diversification that goes beyond test scores on the Progress Report. Survey questions assess the community's opinions on academic expectations, communication, engagement, and safety and respect. School leaders can use survey results to better understand their own school's strengths and target areas for improvement. 

Approximately 600,000 New Yorkers participated in the survey in 2007. 216,914 parents, 31,592 teachers, and 338,201 students submitted surveys and contributed feedback to their schools."
CCRB: Assignment Of Officers Against Whom Allegations Were Substantiated - Organized Crime Control Bureau 2005 - 2009,Public Safety,"complaint, civilian, review, board, activity, ccrb, ...","Civilian Complaint Review Board (CCRB) complaint activity data, 2005-2009"
Manhattan Noise 2009 - Addenum Street & Cars,Other,"311, 311 service requests, 2009, ...",All 311 Requests from year 2009. This is historical data and will not be updated.
2005 Campaign Contributions,Government,"finance, campaign finance board, cfb, nyccfb, ...",A listing of campaign contributions for candidates for City office during the 2005 election cycle
Tenure Of Officers Against Whom Allegations Were Substantiated 2005 - 2009,Public Safety,"complaint, civilian, review, board, activity, ccrb, ...",CCRB: Tenure of Officers against Whom Allegations Were Substantiated 2005 - 2009
CCRB: Age of Victims Whose Allegations Were Substantiated 2005 - 2009,Public Safety,"complaint, civilian, review, board, activity, ...","A statistical breakdown of Civilian Complaint Review Board (CCRB) substantiated cases, by year and age of victim, for the years 2005-2009"
"DOF: Summary of Neighborhood Sales in Queens for Class 1-, 2- and 3-Family homes - 2005",Property,"department of finance, finance, dof, property, ...","The Department of Finance (DOF) maintains records for all property sales in New York City, including sales of family homes in each borough. This list is a summary of neighborhood sales for Class 1-, 2- and 3-Family homes in Queens in 2005.

This list includes all sales of 1-, 2-, and 3-Family Homes' from January 1st, 2005 to December 31, 2005, whose sale price is equal to or more than $150,000.  The Building Class Category for Sales is based on the Building Class at the time of the"
Directory of Swimming Pools,Facilities and Structures,"",Indoor and outdoor pools in New York City Department of Parks & Recreation properties.
Disposition Of Offensive Language Allegations 2006,Public Safety,"complaint, civilian, review, board, activity, ccrb, ...",CCRB: Disposition of Offensive Language Allegations 2006
BoroughBoundaries [ArcGIS_rest_services_DOITTServices_BoroughBoundariesWM_MapServer_0],"","",http://184.73.88.228/ArcGIS/rest/services/DOITTServices/BoroughBoundariesWM/MapServer/0
Paratransit Drivers,"","transportation, taxi, limousine, vehicle, ...",Lists all TLC paratransit drivers
Reservoir and Dam statistics,"","department of environmental protection, dep, ...",Statistics pertaining to local reservoir's and dam's
CCRB: Average Days for the CCRB to Close Substantiated Cases Measured from Date of Report 2005 - 2009,Public Safety,"complaint, civilian, review, board, activity, ccrb, ...","Civilian Complaint Review Board (CCRB) complaint activity data, 2005-2009
Update Schedule: Annually"
2006-07 Class Size - By Region,Education,"","Citywide Class Size Report, including Region, Program, Grade or Service Category.

SOURCES: 10/31/06 Official Register (K-9) and 12/15/06 Register/Schedule (9-12)
#Grade 9 not in high schools
##Indicates how special class is delivered

For schools with students in any grades between Kindergarten and 9th grade (where 9th grade is the termination grade for the school), class size is reported by four program areas: general education, special education self-contained class, collaborative team teaching and gifted and talented self-contained class. Within each program area class size is reported by grade or service category, which indicates how a special education self-contained class is delivered. Class size is calculated by dividing the number of students in a program and grade by the number of official classes in that program and grade. 

The following data is excluded from all the reports: District 75 schools, bridge classes which span more than one grade, classes with fewer than five students (for other than special education self-contained classes) and classes with one student (for special education self-contained classes). On the summary reports programs and grades with three or fewer classes are excluded from the citywide, borough and region reports and programs and grades with one class are excluded from the district report. For schools with students in any grades between 9th and 12th grade (where 9th grade is not the termination grade for the school), class size is reported by two program areas: general education and special education. For general education students class size is reported by grade for each core subject area: English, Math, Science and Social Studies. For special education students with a self-contained program recommendation, class size is reported by service category (self-contained or mainstream) for each core subject area. Since high school classes may contain students in multiple grades and programs, class size is calculated by taking a weighted average of all the classes in a core subject area with students in a particular grade or program. For example, there are 75 ninth graders enrolled at a high school. 25 ninth graders attend a Math class with 28 students, a second group of 25 ninth graders attend a Math class with 25 students, and a third group of 25 ninth graders attend a Math class with 30 students. Average class size for ninth grade Math equals: (25x28 + 25x25 + 25x30)/75 = 27.7. 

The Pupil Teacher Ratio is also provided on the school level report. Pupil Teacher Ratio is another means to evaluate the instructional resources provided at a school. Pupil Teacher Ratio for All Students is calculated by dividing the number of students at a school by the number of full-time equivalent teachers, including both teachers in classes taught by two teachers, “cluster” teachers providing instruction in specialized topics like art or science, and teachers providing special education instruction. Pupil Teacher Ratio Excluding Special Education is calculated by dividing the number of non-special education students at a school by the number of full-time equivalent non-special education teachers."
